LOTE;VALOR;PESO;DESCRICAO
00275-5;1.497,00 ;0,12;" UM ANEL, TRES COLARES, (UM DELES COM PENDENTE FIXO), DE: OURO BRANCO, OURO; CONTÉM: diamante, 01(0,12CT,BRILHANTE,KL-S1); CONSTAM: amolgada(s), PESO LOTE: 6,46G (SEIS GRAMAS E QUARENTA E SEIS CENTIGRAMAS) R$ 1.497,00 
"
00364-6; 822,00 ;5,65;" DOIS BRINCOS, UM COLAR, (PARTIDO, INCOMPLETO, FECHO DOOURADO), UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amassada(s), PESO LOTE: 5,65G (CINCO GRAMAS E SESSENTA E CINCO CENTIGRAMAS) R$ 822,00 
"
00381-6;1.691,00 ;12,94;" UM ANEL, DOIS BRINCOS, (SEM TARRACHAS), UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 12,94G (DOZE GRAMAS E NOVENTA E QUATRO CENTIGRAMAS) R$ 1.691,00 
"
00470-7;1.475,00 ;0,05;" DOIS ANÉIS, DOIS BRINCOS, DOIS PENDENTES, DE: OURO, OURO BRANCO; CONTÉM: diamantes, 07(APROX.0,05CT,BRIL,MN,SI2), 14(APROX.0,02CT,8X8,MN,SI); CONSTAM: amolgada(s), defeito(s), PESO LOTE: 8,80G (OITO GRAMAS E OITENTA CENTIGRAMAS) R$ 1.475,00 
"
00476-6;1.095,00 ;7,40;" OITO BRINCOS, UM ANEL, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 7,40G (SETE GRAMAS E QUARENTA CENTIGRAMAS) R$ 1.095,00 
"
00478-2; 558,00 ;4,23;" UMA ALIANÇA, UM COLAR, UM PENDENTE, DE: OURO; CONTÉM: diamante; CONSTAM: amassada(s), partida(s), inscrições, PESO LOTE: 4,23G (QUATRO GRAMAS E VINTE E TRES CENTIGRAMAS) R$ 558,00 
"
00590-8; 478,00 ;21,34;" UMA PULSEIRACOM DOIS FIOS PEROLAS AMARELADAS COMPRIMENTO APROX 20CM, ORIENTE BOM,DIAM APROX 5MM, DE: OURO, (FECHO E DETALHES); CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 21,34G (VINTE E UM GRAMAS E TRINTA E QUATRO R$ 478,00 
"
00591-6; 743,00 ;31,82;" UM COLARPEROLAS AMARELADAS, ORIENTE BOM, FIO APROX 40CM, DIAM APROX 7MM, DE: OURO, (FECHO E DETALHES); CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 31,82G (TRINTA E UM GRAMAS E OITENTA E DOIS CENTIGRAMAS) R$ 743,00 
"
00592-4;2.621,00 ;17,27;" UM ANEL, DOIS BRINCOS, UM COLAR, UM PENDENTE, DE: OURO, OURO RODINADO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 17,27G (DEZESSETE GRAMAS E VINTE E SETE CENTIGRAMAS) R$ 2.621,00 
"
00608-4;1.209,00 ;8,31;" UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO; CONTÉM: diamante, (NAO PRECIFICADO); CONSTAM: amassada(s), partida(s), incompleta(s), PESO LOTE: 8,31G (OITO GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 1.209,00 
"
00630-0; 377,00 ;2,36;" UM ANEL, UM COLAR, DE: OURO BRANCO, OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 2,36G (DOIS GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 377,00 
"
00636-0;2.952,00 ;18,31;" UM ANEL, UMA PULSEIRA, (COM ARGOLAS FIXAS), UM PENDENTE, DE: OURO; CONTÉM: diamante; CONSTAM: amolgada(s), PESO LOTE: 18,31G (DEZOITO GRAMAS E TRINTA E UM CENTIGRAMAS) R$ 2.952,00 
"
00717-0; 764,00 ;5,42;" DUAS ALIANÇAS, DE: OURO; CONTÉM: diamante, NÃO PRECIFICADO; CONSTAM: amassada(s), inscrições, PESO LOTE: 5,42G (CINCO GRAMAS E QUARENTA E DOIS CENTIGRAMAS) R$ 764,00 
"
00753-6;1.396,00 ;9,56;" UM ANEL, UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: faltas, PESO LOTE: 9,56G (NOVE GRAMAS E CINQUENTA E SEIS CENTIGRAMAS) R$ 1.396,00 
"
00764-1; 401,00 ;2,80;" UMA ALIANÇA, DE: OURO; CONTÉM: diamante, (NAO PRECIFICADO); CONSTAM: amolgada(s), inscrições, PESO LOTE: 2,80G (DOIS GRAMAS E OITENTA CENTIGRAMAS) R$ 401,00 
"
00772-2;1.091,00 ;8,33;" DUAS ALIANÇAS, DE: OURO; CONTÉM: diamante, (NAO PRECIFICADO); CONSTAM: inscrições, PESO LOTE: 8,33G (OITO GRAMAS E TRINTA E TRES CENTIGRAMAS) R$ 1.091,00 
"
00773-0; 950,00 ;7,26;" DUAS ALIANÇAS, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 7,26G (SETE GRAMAS E VINTE E SEIS CENTIGRAMAS) R$ 950,00 
"
00783-8; 845,00 ;5,77;" DOIS ANÉIS, UM COLAR, DE: OURO, OURO RODINADO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), partida(s), incompleta(s), PESO LOTE: 5,77G (CINCO GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 845,00 
"
00795-1; 417,00 ;3,03;" UM ANEL, DOIS BRINCOS, DE: OURO; CONTÉM: diamantes, (NAO PRECIFICADOS); CONSTAM: amassada(s), PESO LOTE: 3,03G (TRES GRAMAS E TRES CENTIGRAMAS) R$ 417,00 
"
00804-4;3.563,00 ;24,73;" UM BROCHE, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 24,73G (VINTE E QUATRO GRAMAS E SETENTA E TRES CENTIGRAMAS) R$ 3.563,00 
"
00813-3; 857,00 ;5,87;" DUAS ALIANÇAS, UM ANEL, DE: OURO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), PESO LOTE: 5,87G (CINCO GRAMAS E OITENTA E SETE CENTIGRAMAS) R$ 857,00 
"
00823-0; 807,00 ;5,19;" UM ANEL, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS, PESO LOTE: 5,19G (CINCO GRAMAS E DEZENOVE CENTIGRAMAS) R$ 807,00 
"
00828-1; 914,00 ;6,46;" UM ANEL, DE: OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), inscrições, PESO LOTE: 6,46G (SEIS GRAMAS E QUARENTA E SEIS CENTIGRAMAS) R$ 914,00 
"
00834-6;2.464,00 ;17,45;" UM ANEL, UMA ALIANÇA, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amolgada(s), PESO LOTE: 17,45G (DEZESSETE GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 2.464,00 
"
00837-0; 487,00 ;3,45;" UMA ALIANÇA, UM ANEL, UM BRINCO, DE: OURO, OURO BRANCO, OURO RODINADO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), inscrições, PESO LOTE: 3,45G (TRES GRAMAS E QUARENTA E CINCO CENTIGRAMAS) R$ 487,00 
"
00842-7; 110,00 ;0,85;" UM ANEL, DE: OURO, OURO RODINADO; CONTÉM: diamante, (NÃO PRECIFICADO); CONSTAM: amolgada(s), PESO LOTE: 0,85G (OITENTA E CINCO CENTIGRAMAS) R$ 110,00 
"
00852-4; 319,00 ;2,30;" UM BRINCO, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 2,30G (DOIS GRAMAS E TRINTA CENTIGRAMAS) R$ 319,00 
"
00878-8;13.671,00 ;91,40;" DOIS BRINCOS, DOIS COLARES, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, PESO LOTE: 91,40G (NOVENTA E UM GRAMAS E QUARENTA CENTIGRAMAS) R$ 13.671,00 
"
00889-3; 961,00 ;4,60;" UM ANEL, DE: OURO; CONTÉM: diamantes, 9 BRILH X 0 05CT, K, VVS, PESO LOTE: 4,60G (QUATRO GRAMAS E SESSENTA CENTIGRAMAS) R$ 961,00 
"
00939-3;1.104,00 ;7,60;" UMA ALIANÇA, UM ANEL, DE: OURO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 7,60G (SETE GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.104,00 
"
00948-2;2.314,00 ;0,01;" UMA ALIANÇA, DOIS ANÉIS, DE: OURO BRANCO, OURO; CONTÉM: diamantes, (45 X PESO APROX MENOR Q 0,01CT KL SI BRILHANTES), PESO LOTE: 9,40G (NOVE GRAMAS E QUARENTA CENTIGRAMAS) R$ 2.314,00 
"
00966-0;1.942,00 ;8,90;" DOIS BRINCOS, DE: OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 8,90G (OITO GRAMAS E NOVENTA CENTIGRAMAS) R$ 1.942,00 
"
00967-9;1.667,00 ;9,75;" DOIS BRINCOS, DE: OURO; CONTÉM: diamantes, PESO LOTE: 9,75G (NOVE GRAMAS E SETENTA E CINCO CENTIGRAMAS) R$ 1.667,00 
"
00981-4; 635,00 ;4,40;" UMA PULSEIRA, DE: OURO; CONTÉM: diamante; CONSTAM: amolgada(s), PESO LOTE: 4,40G (QUATRO GRAMAS E QUARENTA CENTIGRAMAS) R$ 635,00 
"
00993-8;2.813,00 ;17,10;" UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 17,10G (DEZESSETE GRAMAS E DEZ CENTIGRAMAS) R$ 2.813,00 
"
00995-4;1.723,00 ;10,60;" DOIS ANÉIS, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 10,60G (DEZ GRAMAS E SESSENTA CENTIGRAMAS) R$ 1.723,00 
"
01012-0;;5,70;" UMA ALIANÇA, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: inscrições, PESO LOTE: 5,70G (CINCO GRAMAS E SETENTA CENTIGRAMAS) R$ 855,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 17 de 73 
"
01023-5;2.153,00 ;10,80;" UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 10,80G (DEZ GRAMAS E OITENTA CENTIGRAMAS) R$ 2.153,00 
"
01024-3;2.240,00 ;11,30;" UM ANEL, DE: OURO, OURO RODINADO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 11,30G (ONZE GRAMAS E TRINTA CENTIGRAMAS) R$ 2.240,00 
"
01041-3;4.327,00 ;20,90;" UM ANEL, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 20,90G (VINTE GRAMAS E NOVENTA CENTIGRAMAS) R$ 4.327,00 
"
01062-6;1.640,00 ;11,30;" UM ANEL, UM COLAR, DE: OURO; CONTÉM: diamante, (NAO PRECIFICADO); CONSTAM: amassada(s), PESO LOTE: 11,30G (ONZE GRAMAS E TRINTA CENTIGRAMAS) R$ 1.640,00 
"
01080-4;5.525,00 ;26,10;" UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, (NAO PRECIFICADOS), PESO LOTE: 26,10G (VINTE E SEIS GRAMAS E DEZ CENTIGRAMAS) R$ 5.525,00 
"
01081-2;5.830,00 ;27,60;" UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, (NAO PRECIFICADOS), PESO LOTE: 27,60G (VINTE E SETE GRAMAS E SESSENTA CENTIGRAMAS) R$ 5.830,00 
"
01082-0;5.409,00 ;25,60;" UMA PULSEIRA, DE: OURO BRANCO; CONTÉM: diamantes, (NAO PRECIFICADOS), PESO LOTE: 25,60G (VINTE E CINCO GRAMAS E SESSENTA CENTIGRAMAS) R$ 5.409,00 
"
01104-5;3.170,00 ;21,70;" DUAS PULSEIRAS, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 21,70G (VINTE E UM GRAMAS E SETENTA CENTIGRAMAS) R$ 3.170,00 
"
01169-0;3.026,00 ;16,10;" CINCO ANÉIS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NAO PRECIFICADOS), PESO LOTE: 16,10G (DEZESSEIS GRAMAS E DEZ CENTIGRAMAS) R$ 3.026,00 
"
01213-0;3.150,00 ;21,60;" QUATRO ANÉIS, DOIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 21,60G (VINTE E UM GRAMAS E SESSENTA CENTIGRAMAS) R$ 3.150,00 
"
01251-3;;2,00;" TRES PENDENTES, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 2,00G (DOIS GRAMAS) R$ 330,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 19 de 73 
"
01271-8;4.515,00 ;28,47;" UM BRINCO, UMA PULSEIRA, DE: OURO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 28,47G (VINTE E OITO GRAMAS E QUARENTA E SETE CENTIGRAMAS) R$ 4.515,00 
"
01306-4;2.686,00 ;18,50;" UM ANEL, DUAS ALIANÇAS, DUAS PULSEIRAS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS); CONSTAM: amassada(s), amolgada(s), PESO LOTE: 18,50G (DEZOITO GRAMAS E CINQUENTA CENTIGRAMAS) R$ 2.686,00 
"
01307-2;2.790,00 ;15,87;" SEIS BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, (NÃO PRECIFICADOS), PESO LOTE: 15,87G (QUINZE GRAMAS E OITENTA E SETE CENTIGRAMAS) R$ 2.790,00 
"
01354-4;3.345,00 ;23,32;" CINCO ANÉISSENDO UM PARTIDO, DOIS BRINCOS, UM COLAR, UM PENDENTE, UMA PULSEIRA, DE: OURO BRANCO, OURO; CONTÉM: diamante; CONSTAM: amolgada(s), falta, PESO LOTE: 23,32G (VINTE E TRES GRAMAS E TRINTA E DOIS CENTIGRAMAS) R$ 3.345,00 
"
01358-7;2.190,00 ;15,97;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 15,97G (QUINZE GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 2.190,00 
"
01366-8;1.061,00 ;7,28;" UMA ALIANÇA, DE: OURO, OURO BRANCO; CONTÉM: diamante, PESO LOTE: 7,28G (SETE GRAMAS E VINTE E OITO CENTIGRAMAS) R$ 1.061,00 
"
01371-4; 755,00 ;5,32;" DOIS BRINCOS, DE: OURO; CONTÉM: diamantes, PESO LOTE: 5,32G (CINCO GRAMAS E TRINTA E DOIS CENTIGRAMAS) R$ 755,00 
"
01382-0;1.881,00 ;14,01;" DUAS ALIANÇAS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 14,01G (QUATORZE GRAMA E UM CENTIGRAMAS) R$ 1.881,00 
"
01399-4; 855,00 ;6,36;" DOIS ANÉIS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 6,36G (SEIS GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 855,00 
"
01425-7;1.016,00 ;7,12;" DUAS ALIANÇAS, DE: OURO; CONTÉM: diamante, PESO LOTE: 7,12G (SETE GRAMAS E DOZE CENTIGRAMAS) R$ 1.016,00 
"
01427-3; 663,00 ;4,55;" UMA ALIANÇA, UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes, ENTRE OUTROS UM COM APROXIMADAMENTE 16 PONTOS KLSI, PESO LOTE: 4,55G (QUATRO GRAMAS E CINQUENTA E CINCO CENTIGRAMAS) R$ 663,00 
"
01429-0; 510,00 ;3,95;" DOIS COLARESCOM MONOGRAMA, DE: OURO; CONTÉM: diamante; CONSTAM: amolgada(s), PESO LOTE: 3,95G (TRES GRAMAS E NOVENTA E CINCO CENTIGRAMAS) R$ 510,00 
"
01447-8;1.403,00 ;10,17;" TRES ANÉIS, UM BROCHE, UMA PULSEIRA, PARTIDA, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amassada(s), inscrições, PESO LOTE: 10,17G (DEZ GRAMAS E DEZESSETE CENTIGRAMAS) R$ 1.403,00 
"
01448-6;2.782,00 ;17,49;" DOIS ANÉIS, QUATRO BRINCOS, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 17,49G (DEZESSETE GRAMAS E QUARENTA E NOVE CENTIGRAMAS) R$ 2.782,00 
"
01459-1;1.207,00 ;8,29;" TRES ANÉIS, UM PENDENTE, DE: OURO BRANCO, OURO; CONTÉM: diamantes, PESO LOTE: 8,29G (OITO GRAMAS E VINTE E NOVE CENTIGRAMAS) R$ 1.207,00 
"
01471-0;2.300,00 ;16,41;" QUATRO BRINCOSSENDO TRÊS SEM TARRAXAS, QUATRO COLARES, SENDO UM PARTIDO E OUTRO COM UM PENDENTE, TRES PENDENTES, DE: OURO BRANCO, OURO; CONTÉM: diamantes; CONSTAM: amassada(s), falta, PESO LOTE: 16,41G (DEZESSEIS GRAMAS E QUARENTA E UM CENTIGRAMAS) R$ 2.300,00 
"
01486-9;1.157,00 ;8,10;" UM ANEL, DE: OURO, OURO BRANCO; CONTÉM: diamantes, PESO LOTE: 8,10G (OITO GRAMAS E DEZ CENTIGRAMAS) R$ 1.157,00 
"
01490-7;1.891,00 ;13,23;" DOIS BRINCOS, UM ANEL, UM COLAR, COM PENDENTE, DOIS COLARES, COM DOIS PENDENTES, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), amolgada(s), iniciais, PESO LOTE: 13,23G (TREZE GRAMAS E VINTE E TRES CENTIGRAMAS) R$ 1.891,00 
"
01491-5;7.733,00 ;50,36;" DOIS ANÉIS, CINCO PULSEIRAS, SENDO UMA COM UM PENDENTE, DE: OURO; CONTÉM: diamantes; CONSTAM: amassada(s), inscrições, PESO LOTE: 50,36G (CINQUENTA GRAMAS E TRINTA E SEIS CENTIGRAMAS) R$ 7.733,00 
"
01494-0;1.241,00 ;8,68;" DUAS ALIANÇAS, DE: OURO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: inscrições, PESO LOTE: 8,68G (OITO GRAMAS E SESSENTA E OITO CENTIGRAMAS) R$ 1.241,00 
"
01495-8;2.714,00 ;16,98;" UM ANEL, DUAS ALIANÇAS, DOIS BRINCOS, UM COLAR, COM PENDENTE, DE: OURO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: inscrições, PESO LOTE: 16,98G (DEZESSEIS GRAMAS E NOVENTA E OITO CENTIGRAMAS) R$ 2.714,00 
"
01520-2; 904,00 ;0,25;" DOIS BRINCOS, DE: OURO BRANCO; CONTÉM: diamantes, 2(0,25 CT BRIL KL SI); CONSTAM: amolgada(s), PESO LOTE: 2,10G (DOIS GRAMAS E DEZ CENTIGRAMAS) R$ 904,00 
"
01535-0;;0,04;" UM ANEL, DOIS BRINCOS, UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes, 40(0,04CT BRIL), 48(0,02CT BRIL); CONSTAM: amolgada(s), PESO LOTE: 48,10G (QUARENTA E OITO GRAMAS E DEZ CENTIGRAMAS) R$ 7.390,00 Centralizadora: AG. PRACA RUI BARBOSA, RS 0453 Licitação de Jóias Data da Licitação: 27/02/2023 LOTE/CONTRATO DESCRIÇÃO VALOR ANOTAÇÕES Página 25 de 73 
"
01549-0;7.000,00 ;14,17;" DUAS ALIANÇAS, DOIS ANÉIS, DOIS COLARES, UM PENDENTE, UM RELÓGIO PULSEIRA, EDOX (CORDA MANUAL, PARADO, MOSTRADOR MANCHADO, VIDRO RISCADO, PESO 14,17G), DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), defeito(s), inscrições, PESO LOTE: 56,52G (CINQUENTA E SEIS GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 7.000,00 
"
01567-9;2.848,00 ;18,80;" UM COLAR, DE: OURO; CONTÉM: diamante, NAO PRECIFICADO; CONSTAM: amolgada(s), PESO LOTE: 18,80G (DEZOITO GRAMAS E OITENTA CENTIGRAMAS) R$ 2.848,00 
"
01573-3;2.350,00 ;17,52;" QUATRO ANÉIS, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 17,52G (DEZESSETE GRAMAS E CINQUENTA E DOIS CENTIGRAMAS) R$ 2.350,00 
"
01577-6;2.468,00 ;16,38;" DOIS ANÉIS, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 16,38G (DEZESSEIS GRAMAS E TRINTA E OITO CENTIGRAMAS) R$ 2.468,00 
"
01594-6;1.635,00 ;10,79;" UM ANEL, DOIS BRINCOS, UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 10,79G (DEZ GRAMAS E SETENTA E NOVE CENTIGRAMAS) R$ 1.635,00 
"
01599-7; 764,00 ;5,10;" UM ANEL, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 5,10G (CINCO GRAMAS E DEZ CENTIGRAMAS) R$ 764,00 
"
01606-3;1.189,00 ;8,38;" UM COLAR, UM PENDENTE, DE: OURO, OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), falta, PESO LOTE: 8,38G (OITO GRAMAS E TRINTA E OITO CENTIGRAMAS) R$ 1.189,00 
"
01613-6;1.205,00 ;8,97;" UMA ALIANÇA, DOIS ANÉIS, DE: OURO BRANCO; CONTÉM: diamantes, NÃO PRECIFICADOS; CONSTAM: amassada(s), amolgada(s), PESO LOTE: 8,97G (OITO GRAMAS E NOVENTA E SETE CENTIGRAMAS) R$ 1.205,00 
"
01622-5; 280,00 ;2,05;" UM ANEL, DE: OURO; CONTÉM: diamantes, NAO PRECIFICADOS; CONSTAM: amolgada(s), PESO LOTE: 2,05G (DOIS GRAMAS E CINCO CENTIGRAMAS) R$ 280,00 
"
01669-1;2.130,00 ;14,20;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 14,20G (QUATORZE GRAMAS E VINTE CENTIGRAMAS) R$ 2.130,00 
"
01670-5;2.965,00 ;19,77;" UMA PULSEIRA, DE: OURO, OURO BRANCO; CONTÉM: diamantes; CONSTAM: amolgada(s), PESO LOTE: 19,77G (DEZENOVE GRAMAS E SETENTA E SETE CENTIGRAMAS) R$ 2.965,00 
"
